"Application Name","Ministry","Application Owner","Technical Fit Score","Who was involved","T1 - Platform / Product Footprint","T2 - Application Development Platform","T3 - Platform Portability","T4 - Configurability & Extensibility","T5 - Support for Modern UX","T6 - Security Controls","T7 - Security Controls for Data Sensitivity","T8 - Identity Assurance","T9 - Resilience & Recovery","T10 - Observability & Manageability","T11 - Vendor and Support Availability","T12 - Integration Capabilities","T13 - Integrations","T14 - Data Accessibility","Notes","Modified","Modified By"
"HABISASK - Hunting, Angling and Biodiversity Information","Environment","Katherine Mehl","58.8","Ryan Brittner, Stuart Holtby, Leanne Silzer, Dalton Stevens","3 - Virtualized N-Tier: Standard Virtual Machines (Infrastructure as a Service); manual scaling.","2 - Aging / Limited Modernization: Behind current standards (6 to 10 years old).","3 - Lift & Shift Only: Virtualizable, but requires same OS/Network config (no refactoring).","3 - Moderate Customization: Some admin settings available; core logic requires developer.","3 - Browser (Non-Mobile): Browser-based but not responsive; difficult on tablets.","3 - Basic / Compliant: Security Controls met with manual effort.","5 - Implemented: All controls for data sensitivity have been implemented.","4 - Corporate Single Sign-On: Integrated with Corporate Identity Provider (SSO); standard policies apply.","3 - Plan < 48 hrs: Documented Disaster Recovery plan exists; backups valid; not regularly tested. Recovery within 48 hours.","4 - Strong: Continuous monitoring, Detailed logs, and basic automation through scripts for some components.","3 - Basic Support: Internal team supports it best-effort; documentation is patchy.","3 - Monitored Legacy: Scripts or batch jobs with error logging; alerts IT on failure.","4 - 1-10 Integrations: Low complexity; clear data flow diagrams exist.","4 - Has ETL Capabilities: Users have access to the Extract, Transform, Load capability.","Danny McLeod is already working on a new version of this so we can update the underlying infrastructure.  

GeoCortex that we are running is 4.15 which has a end of life of June 2028.   The company has been bought by VertaGIS which is working on replacing GeoCortex with Verta GIS Studio 5. 
","3/3/2026 9:06 AM","Brittner, Ryan SBP"
"ECRM - ENV","Environment","Krista Campbell","38.8","Alex, Sujith, Ryan, Glenn, Stuart, Leanne, Rashmi","2 - Legacy Client-Server: Thick client dependency; heavy server footprint; hard to scale.","1 - Legacy / Obsolete: End of life or unsupported (10+ years old).","1 - Not Portable: Hard-coded to specific hardware or MAC/IP addresses.","3 - Moderate Customization: Some admin settings available; core logic requires developer.","3 - Browser (Non-Mobile): Browser-based but not responsive; difficult on tablets.","1 - Non Compliant: Patches no longer available. Can't implement modern controls.","3 - Unknown / Partial: Unknown status.","4 - Corporate Single Sign-On: Integrated with Corporate Identity Provider (SSO); standard policies apply.","2 - Manual Recovery > 48 hrs: Manual restoration from backup tapes/files; Recovery takes over 48 hours.","3 - Adequate: Standard Troubleshooting tools, basic reporting, limited automation.","3 - Basic Support: Internal team supports it best-effort; documentation is patchy.","3 - Monitored Legacy: Scripts or batch jobs with error logging; alerts IT on failure.","4 - 1-10 Integrations: Low complexity; clear data flow diagrams exist.","3 - Export Import Capabilities: Users have access to an export capability.",,"3/3/2026 1:53 PM","Brittner, Ryan SBP"
"eCLMS - Enterprise Crown Land Management System - D365","Environment","Krista Campbell","82.3","Alex, Sujith, Rashmi, Glenn, Stuart, Leanne, Ryan","4 - Containerized: Container technology (Docker); localized footprint; automated scaling.","4 - Modern: Current best practices.","3 - Lift & Shift Only: Virtualizable, but requires same OS/Network config (no refactoring).","3 - Moderate Customization: Some admin settings available; core logic requires developer.","4 - Multi Device: Adapts layout to Tablet/Mobile browsers automatically.","5 - Advanced: Continuous Compliance monitoring; Zero Trust architecture.","5 - Implemented: All controls for data sensitivity have been implemented.","5 - Multi-Factor Enforced: Corporate Identity Provider with enforced Multi-Factor Authentication (MFA) & Conditional Access.","5 - Automated: Active/Active clustering or Geo-redundancy; self-healing; zero downtime.","4 - Strong: Continuous monitoring, Detailed logs, and basic automation through scripts for some components.","5 - Strong Support: Vendor contract with guaranteed response times or strong community support.","4 - Managed Interface: Managed via API Gateway; traffic is throttled and monitored.","4 - 1-10 Integrations: Low complexity; clear data flow diagrams exist.","4 - Has ETL Capabilities: Users have access to the Extract, Transform, Load capability.",,"3/9/2026 3:01 PM","Brittner, Ryan SBP"
"FMS - Financial Management System","Environment","Robert Gillis","12.3","Alex, Sujith, Rashmi, Glenn, Stuart, Leanne, Ryan","1 - Legacy Monolith: Mainframe or heavy, non-standard hardware; rigid footprint.","1 - Legacy / Obsolete: End of life or unsupported (10+ years old).","1 - Not Portable: Hard-coded to specific hardware or MAC/IP addresses.","1 - Cannot Customize: Rigid - code rewrite for minor business changes.","1 - Legacy / Fixed: Green Screen / Mainframe / Fixed Resolution (Non-resizable).","1 - Non Compliant: Patches no longer available. Can't implement modern controls.","2 - Workaround: Requires extensive workaround to meet required security controls.","2 - Simple User ID and Password: App-specific username/password (local DB); no password complexity rules.","1 - Best Efforts / No Commitment: No Disaster Recovery plan; rebuild from scratch required; data loss likely.","2 - Limited: Minimal alerting capabilities and troubleshooting is basic and reactive.","1 - No Support (Hero): ""Hero"" support; no documentation.","1 - Unmonitored Legacy: Direct Database links or file drops; no logging; failures found by users.","4 - 1-10 Integrations: Low complexity; clear data flow diagrams exist.","2 - Limited Through Reports Only: Data is accessed by running one or more reports.","This system is very Legacy on old hardware (Solaris 5.8 OS)","3/3/2026 2:22 PM","Brittner, Ryan SBP"
"Outfitters Database",,"Travis Williams","34.8","Leanne, Stuart, Ryan and ENV Group","2 - Legacy Client-Server: Thick client dependency; heavy server footprint; hard to scale.","3 - Transitional: Partially modernized (3-6 years old).","1 - Not Portable: Hard-coded to specific hardware or MAC/IP addresses.","2 - Limited: Requires a developer, risks are possible with the upgrade.","2 - Thick Client (Desktop): Mouse/Keyboard required; breaks on mobile screens.","3 - Basic / Compliant: Security Controls met with manual effort.","1 - Incapable: Cannot restrict view/edit by role; all users see all data. No workaround.","1 - Shared User ID and Password: Custom, no ID verification; no individual tracking.","1 - Best Efforts / No Commitment: No Disaster Recovery plan; rebuild from scratch required; data loss likely.","2 - Limited: Minimal alerting capabilities and troubleshooting is basic and reactive.","3 - Basic Support: Internal team supports it best-effort; documentation is patchy.","3 - Monitored Legacy: Scripts or batch jobs with error logging; alerts IT on failure.","5 - Standalone: No external dependencies; fully encapsulated utility.","3 - Export Import Capabilities: Users have access to an export capability.","Permissions are based on Group G drive permission on the folder.

They tried to move this app a while back and references were hard coded inside this app so they were not able to easily move this application. ","3/9/2026 1:29 PM","Brittner, Ryan SBP"
"Permits - FWLB","Environment","Joann Skilnick","36.0","Ryan, Stuart, Leanne and ENV group","2 - Legacy Client-Server: Thick client dependency; heavy server footprint; hard to scale.","3 - Transitional: Partially modernized (3-6 years old).","2 - Low Portability: Requires specific legacy OS or non-standard drivers; ""fragile"" move.","2 - Limited: Requires a developer, risks are possible with the upgrade.","2 - Thick Client (Desktop): Mouse/Keyboard required; breaks on mobile screens.","3 - Basic / Compliant: Security Controls met with manual effort.","1 - Incapable: Cannot restrict view/edit by role; all users see all data. No workaround.","1 - Shared User ID and Password: Custom, no ID verification; no individual tracking.","1 - Best Efforts / No Commitment: No Disaster Recovery plan; rebuild from scratch required; data loss likely.","2 - Limited: Minimal alerting capabilities and troubleshooting is basic and reactive.","3 - Basic Support: Internal team supports it best-effort; documentation is patchy.","3 - Monitored Legacy: Scripts or batch jobs with error logging; alerts IT on failure.","5 - Standalone: No external dependencies; fully encapsulated utility.","3 - Export Import Capabilities: Users have access to an export capability.","RFP out to possibly pull these ones into that new RFP to replace this app.  ","3/9/2026 1:36 PM","Brittner, Ryan SBP"
"Fur Program Statistics","Environment","Joann Skilnick",,"Ryan, Leanne, Stuart and ENV group","2 - Legacy Client-Server: Thick client dependency; heavy server footprint; hard to scale.","3 - Transitional: Partially modernized (3-6 years old).","3 - Lift & Shift Only: Virtualizable, but requires same OS/Network config (no refactoring).","2 - Limited: Requires a developer, risks are possible with the upgrade.","2 - Thick Client (Desktop): Mouse/Keyboard required; breaks on mobile screens.","3 - Basic / Compliant: Security Controls met with manual effort.",,,"1 - Best Efforts / No Commitment: No Disaster Recovery plan; rebuild from scratch required; data loss likely.","2 - Limited: Minimal alerting capabilities and troubleshooting is basic and reactive.","3 - Basic Support: Internal team supports it best-effort; documentation is patchy.","3 - Monitored Legacy: Scripts or batch jobs with error logging; alerts IT on failure.",,"3 - Export Import Capabilities: Users have access to an export capability.","This is a G drive application that the Ministry owns. They would like it removed from the ALR","3/9/2026 1:42 PM","Brittner, Ryan SBP"
"TISWEB - Timber Information System Web","Environment","Vicki Gauthier","16.3","Ryan, Leanne, Stuart, Jason","3 - Virtualized N-Tier: Standard Virtual Machines (Infrastructure as a Service); manual scaling.","1 - Legacy / Obsolete: End of life or unsupported (10+ years old).","2 - Low Portability: Requires specific legacy OS or non-standard drivers; ""fragile"" move.","1 - Cannot Customize: Rigid - code rewrite for minor business changes.","1 - Legacy / Fixed: Green Screen / Mainframe / Fixed Resolution (Non-resizable).","1 - Non Compliant: Patches no longer available. Can't implement modern controls.","1 - Incapable: Cannot restrict view/edit by role; all users see all data. No workaround.","1 - Shared User ID and Password: Custom, no ID verification; no individual tracking.","1 - Best Efforts / No Commitment: No Disaster Recovery plan; rebuild from scratch required; data loss likely.","1 - Poor: Lacks meaningful monitoring tools for troubleshooting.","2 - Limited Support: Specific/Legacy skill set required (e.g., COBOL); hard to hire.","1 - Unmonitored Legacy: Direct Database links or file drops; no logging; failures found by users.","4 - 1-10 Integrations: Low complexity; clear data flow diagrams exist.","2 - Limited Through Reports Only: Data is accessed by running one or more reports.",,"3/5/2026 11:53 AM","Brittner, Ryan SBP"
"Biodiversity Website","Environment","Andrea Benville","18.8","Ryan, Leanne, Stuart, Jason","3 - Virtualized N-Tier: Standard Virtual Machines (Infrastructure as a Service); manual scaling.","1 - Legacy / Obsolete: End of life or unsupported (10+ years old).","2 - Low Portability: Requires specific legacy OS or non-standard drivers; ""fragile"" move.","1 - Cannot Customize: Rigid - code rewrite for minor business changes.","1 - Legacy / Fixed: Green Screen / Mainframe / Fixed Resolution (Non-resizable).","1 - Non Compliant: Patches no longer available. Can't implement modern controls.","3 - Unknown / Partial: Unknown status.","1 - Shared User ID and Password: Custom, no ID verification; no individual tracking.","1 - Best Efforts / No Commitment: No Disaster Recovery plan; rebuild from scratch required; data loss likely.","1 - Poor: Lacks meaningful monitoring tools for troubleshooting.","2 - Limited Support: Specific/Legacy skill set required (e.g., COBOL); hard to hire.","1 - Unmonitored Legacy: Direct Database links or file drops; no logging; failures found by users.","4 - 1-10 Integrations: Low complexity; clear data flow diagrams exist.","2 - Limited Through Reports Only: Data is accessed by running one or more reports.",,"3/5/2026 11:57 AM","Brittner, Ryan SBP"
"TIS - Timber Information System","Environment","Vicki Gauthier","39.0","Stuart, Ryan, Curtis, Cory, Dallas","2 - Legacy Client-Server: Thick client dependency; heavy server footprint; hard to scale.","2 - Aging / Limited Modernization: Behind current standards (6 to 10 years old).","4 - High Portability: Standard Virtual Machine/OS; can move to any hypervisor with minor config changes.","3 - Moderate Customization: Some admin settings available; core logic requires developer.","2 - Thick Client (Desktop): Mouse/Keyboard required; breaks on mobile screens.","3 - Basic / Compliant: Security Controls met with manual effort.","5 - Implemented: All controls for data sensitivity have been implemented.","2 - Simple User ID and Password: App-specific username/password (local DB); no password complexity rules.","3 - Plan < 48 hrs: Documented Disaster Recovery plan exists; backups valid; not regularly tested. Recovery within 48 hours.","1 - Poor: Lacks meaningful monitoring tools for troubleshooting.","3 - Basic Support: Internal team supports it best-effort; documentation is patchy.","1 - Unmonitored Legacy: Direct Database links or file drops; no logging; failures found by users.","4 - 1-10 Integrations: Low complexity; clear data flow diagrams exist.","2 - Limited Through Reports Only: Data is accessed by running one or more reports.",,"3/9/2026 8:51 AM","Brittner, Ryan SBP"
