Application Name,Ministry,Application Owner,Who was involved,Business Fit Score,Criticality Fit Score,B1 - Strategic Contribution,B2 - Regional Growth Support,B3 - Public Confidence Impact,B4 - Scope of Use,B5 - Business Process Criticality,B6 - Business Interruption Tolerance,B7 - Essential Service Impact,B8 - Current Needs Fulfillment,B9 - Future Needs Adaptability,B10 - User Satisfaction,Notes,Modified,Modified By,Item Type,Path
AccuMap,Energy and Resources,Ryan Morelli-AccountDeleted,Emma Zhou,26.3,22.5,2 – Low: Provides limited support or an indirect link to organizational goals; contribution is marginal or secondary.,3 – Supports growth: Not listed in the Growth Plan but contributes in a visible way to economic development or investment.,"2 – Limited: Could trigger a few complaints inside a branch, but unlikely to reach executives, minister, or media.",1 – Single unit: Single branch or unit within a division.,1 – Low dependency: Used occasionally; the process runs easily without it.,2 – Within 1 week: Must be restored within a week.,"3 – Important: Indirectly supports important operational or citizen-facing services. An outage causes delays or inefficiencies, but services can continue temporarily using workarounds.",3 – Moderate: Meets most essential business needs but lacks flexibility or advanced features.,3 – Moderate: Adequate for near-term needs; gaps exist for later-stage growth or innovation.,2 – Dissatisfied: Users report regular frustration or gaps.,,2/17/2026 14:04,"Brittner, Ryan SBP",Item,sites/ArchitectureandPlanning/ITPlanning/Lists/Energy and Resources  Business Fit Assessment
IRIS - Integrated Resource Information System,Energy and Resources,Jenni Gasson,Emma Zhou,45.0,38.8,3 – Indirect: Plays a supportive role in general operations but is not directly aligned with strategic objectives.,3 – Supports growth: Not listed in the Growth Plan but contributes in a visible way to economic development or investment.,"2 – Limited: Could trigger a few complaints inside a branch, but unlikely to reach executives, minister, or media.",2 – Divisional: Divisional level within an organization.,3 – High dependency: Core to daily work; the process slows or risks errors if the application is unavailable.,2 – Within 1 week: Must be restored within a week.,"3 – Important: Indirectly supports important operational or citizen-facing services. An outage causes delays or inefficiencies, but services can continue temporarily using workarounds.",3 – Moderate: Meets most essential business needs but lacks flexibility or advanced features.,3 – Moderate: Adequate for near-term needs; gaps exist for later-stage growth or innovation.,3 – Neutral: Users see it as acceptable but unremarkable.,,2/17/2026 14:17,"Brittner, Ryan SBP",Item,sites/ArchitectureandPlanning/ITPlanning/Lists/Energy and Resources  Business Fit Assessment
IRIS Business Intelligence,Energy and Resources,Jenni Gasson,Emma Zhou,88.8,88.8,5 – Essential: Directly enables or is required to achieve a core strategic goal or mandated outcome.,5 – Growth plan action: Directly delivers or enables a specific strategic action or measurable outcome in the Growth Plan.,"5 – Transformative: High-profile system. Outage would cause public backlash, negative media, legislative scrutiny, or major loss of trust.","3 – Organization wide: Entire organization level such as a Ministry, Agency, Board or Commission.",5 – Mission critical: Essential for service delivery; failure halts operations or breaches a mandate.,4 – Within 4 hours: Must be restored within four hours.,"5 – Mission-Critical: Directly supports life, safety, health, security, or legally mandated services. An outage causes immediate and severe impact to citizens or government operations.",5 – Excellent: Fully meets current business needs and improves operational efficiency.,5 – Exceptional: Fully aligned and positioned for future needs.,4 – Satisfied: Users are generally positive with few issues.,,2/17/2026 14:27,"Brittner, Ryan SBP",Item,sites/ArchitectureandPlanning/ITPlanning/Lists/Energy and Resources  Business Fit Assessment
Coal Files,Energy and Resources,Colin Card,Emma Zhou,45.0,38.8,3 – Indirect: Plays a supportive role in general operations but is not directly aligned with strategic objectives.,3 – Supports growth: Not listed in the Growth Plan but contributes in a visible way to economic development or investment.,"2 – Limited: Could trigger a few complaints inside a branch, but unlikely to reach executives, minister, or media.",2 – Divisional: Divisional level within an organization.,3 – High dependency: Core to daily work; the process slows or risks errors if the application is unavailable.,2 – Within 1 week: Must be restored within a week.,"3 – Important: Indirectly supports important operational or citizen-facing services. An outage causes delays or inefficiencies, but services can continue temporarily using workarounds.",3 – Moderate: Meets most essential business needs but lacks flexibility or advanced features.,3 – Moderate: Adequate for near-term needs; gaps exist for later-stage growth or innovation.,3 – Neutral: Users see it as acceptable but unremarkable.,,2/17/2026 14:36,"Brittner, Ryan SBP",Item,sites/ArchitectureandPlanning/ITPlanning/Lists/Energy and Resources  Business Fit Assessment
Daily Drilling Activity Report Archive,Energy and Resources,Emma Zhou,Emma Zhou,42.5,41.3,3 – Indirect: Plays a supportive role in general operations but is not directly aligned with strategic objectives.,3 – Supports growth: Not listed in the Growth Plan but contributes in a visible way to economic development or investment.,3 – Moderate: Noticeable impact. Partners or citizens may complain. Executive attention possible but low likelihood of political issues.,2 – Divisional: Divisional level within an organization.,2 – Moderate dependency: Regularly used; the process continues with manual effort or a short workaround.,3 – Within 24 hours: Must be restored within a day.,"3 – Important: Indirectly supports important operational or citizen-facing services. An outage causes delays or inefficiencies, but services can continue temporarily using workarounds.",3 – Moderate: Meets most essential business needs but lacks flexibility or advanced features.,3 – Moderate: Adequate for near-term needs; gaps exist for later-stage growth or innovation.,3 – Neutral: Users see it as acceptable but unremarkable.,,3/10/2026 15:20,"Brittner, Ryan SBP",Item,sites/ArchitectureandPlanning/ITPlanning/Lists/Energy and Resources  Business Fit Assessment
GeoAtlas,Energy and Resources,Colin Card,Emma Zhou,37.5,30.0,3 – Indirect: Plays a supportive role in general operations but is not directly aligned with strategic objectives.,3 – Supports growth: Not listed in the Growth Plan but contributes in a visible way to economic development or investment.,"2 – Limited: Could trigger a few complaints inside a branch, but unlikely to reach executives, minister, or media.",1 – Single unit: Single branch or unit within a division.,2 – Moderate dependency: Regularly used; the process continues with manual effort or a short workaround.,2 – Within 1 week: Must be restored within a week.,"3 – Important: Indirectly supports important operational or citizen-facing services. An outage causes delays or inefficiencies, but services can continue temporarily using workarounds.",3 – Moderate: Meets most essential business needs but lacks flexibility or advanced features.,3 – Moderate: Adequate for near-term needs; gaps exist for later-stage growth or innovation.,3 – Neutral: Users see it as acceptable but unremarkable.,,2/17/2026 14:38,"Brittner, Ryan SBP",Item,sites/ArchitectureandPlanning/ITPlanning/Lists/Energy and Resources  Business Fit Assessment
GeoLogic Geoscout,Energy and Resources,Ryan Morelli-AccountDeleted,Emma Zhou,50.0,46.3,3 – Indirect: Plays a supportive role in general operations but is not directly aligned with strategic objectives.,3 – Supports growth: Not listed in the Growth Plan but contributes in a visible way to economic development or investment.,3 – Moderate: Noticeable impact. Partners or citizens may complain. Executive attention possible but low likelihood of political issues.,"3 – Organization wide: Entire organization level such as a Ministry, Agency, Board or Commission.",3 – High dependency: Core to daily work; the process slows or risks errors if the application is unavailable.,2 – Within 1 week: Must be restored within a week.,"3 – Important: Indirectly supports important operational or citizen-facing services. An outage causes delays or inefficiencies, but services can continue temporarily using workarounds.",3 – Moderate: Meets most essential business needs but lacks flexibility or advanced features.,3 – Moderate: Adequate for near-term needs; gaps exist for later-stage growth or innovation.,3 – Neutral: Users see it as acceptable but unremarkable.,,2/17/2026 14:39,"Brittner, Ryan SBP",Item,sites/ArchitectureandPlanning/ITPlanning/Lists/Energy and Resources  Business Fit Assessment
GeoPlanner,Energy and Resources,Jane Mcleod,Emma Zhou,42.5,41.3,3 – Indirect: Plays a supportive role in general operations but is not directly aligned with strategic objectives.,3 – Supports growth: Not listed in the Growth Plan but contributes in a visible way to economic development or investment.,3 – Moderate: Noticeable impact. Partners or citizens may complain. Executive attention possible but low likelihood of political issues.,2 – Divisional: Divisional level within an organization.,2 – Moderate dependency: Regularly used; the process continues with manual effort or a short workaround.,3 – Within 24 hours: Must be restored within a day.,"3 – Important: Indirectly supports important operational or citizen-facing services. An outage causes delays or inefficiencies, but services can continue temporarily using workarounds.",3 – Moderate: Meets most essential business needs but lacks flexibility or advanced features.,3 – Moderate: Adequate for near-term needs; gaps exist for later-stage growth or innovation.,3 – Neutral: Users see it as acceptable but unremarkable.,,2/17/2026 14:40,"Brittner, Ryan SBP",Item,sites/ArchitectureandPlanning/ITPlanning/Lists/Energy and Resources  Business Fit Assessment
Geoscience Data Management,Energy and Resources,Emma Zhou,Emma Zhou,55.0,60.0,5 – Essential: Directly enables or is required to achieve a core strategic goal or mandated outcome.,3 – Supports growth: Not listed in the Growth Plan but contributes in a visible way to economic development or investment.,"4 – Strong: Failure would be visible to many users or citizens. Likely to draw executive attention, potential ministerial questions, or audit findings.",2 – Divisional: Divisional level within an organization.,3 – High dependency: Core to daily work; the process slows or risks errors if the application is unavailable.,3 – Within 24 hours: Must be restored within a day.,"4 – Essential: Directly supports core public services or revenue collection. An outage causes significant service disruption and public impact, but short outages may be managed.",3 – Moderate: Meets most essential business needs but lacks flexibility or advanced features.,3 – Moderate: Adequate for near-term needs; gaps exist for later-stage growth or innovation.,3 – Neutral: Users see it as acceptable but unremarkable.,,2/17/2026 14:42,"Brittner, Ryan SBP",Item,sites/ArchitectureandPlanning/ITPlanning/Lists/Energy and Resources  Business Fit Assessment
GeoVista,Energy and Resources,Ryan Morelli-AccountDeleted,Emma Zhou,50.0,35.0,3 – Indirect: Plays a supportive role in general operations but is not directly aligned with strategic objectives.,3 – Supports growth: Not listed in the Growth Plan but contributes in a visible way to economic development or investment.,"2 – Limited: Could trigger a few complaints inside a branch, but unlikely to reach executives, minister, or media.",1 – Single unit: Single branch or unit within a division.,3 – High dependency: Core to daily work; the process slows or risks errors if the application is unavailable.,2 – Within 1 week: Must be restored within a week.,"3 – Important: Indirectly supports important operational or citizen-facing services. An outage causes delays or inefficiencies, but services can continue temporarily using workarounds.",4 – Good: Aligns well with current business requirements and supports most processes effectively.,4 – High: Has flexibility for long-term growth and capability for change.,4 – Satisfied: Users are generally positive with few issues.,,2/17/2026 14:43,"Brittner, Ryan SBP",Item,sites/ArchitectureandPlanning/ITPlanning/Lists/Energy and Resources  Business Fit Assessment
